id,text,intent
163,"Exchange item",purchase_return
164,"Return this item",purchase_return
165,"Refund status",purchase_return
166,"Return period",purchase_return
167,"Product replacement",purchase_return
168,"Can I return this shirt?",purchase_return
169,"How do I get a refund?",purchase_return
170,"What is your return policy?",purchase_return
171,"Can I exchange this product for a different size?",purchase_return
172,"The product arrived damaged, what should I do?",purchase_return
173,"How many days do I have to return an item?",purchase_return
174,"Can I get a replacement for a defective product?",purchase_return
175,"I received the wrong item, can I send it back?",purchase_return
176,"How do I request a refund for my order?",purchase_return
177,"Can I return an item without the original packaging?",purchase_return
178,"Is there a fee for returning products?",purchase_return
179,"Can I exchange this for a different color?",purchase_return
180,"What is the process for returning a damaged product?",purchase_return
181,"I wanted to ask about returning something I bought.",purchase_return
182,"Could you help me exchange this jacket for a bigger size?",purchase_return
183,"I received a broken item, what are my options?",purchase_return
184,"I'm not happy with this product, can I send it back?",purchase_return
185,"Could you explain how refunds work here?",purchase_return
186,"I'd like to return this because it doesn't fit.",purchase_return
187,"Can you guide me through the exchange process?",purchase_return
188,"I think I got the wrong size, what can I do?",purchase_return
189,"My order arrived in bad condition, can I return it?",purchase_return
190,"Can i retun this",purchase_return
191,"Wanna send this back",purchase_return
192,"This is defective, wat now",purchase_return
193,"Can i swap this for another size",purchase_return
194,"Not happy with this, refund pls",purchase_return
195,"Wrong item sent, need refund",purchase_return
196,"This broke already, replacement?",purchase_return
197,"How long does a refund take to process?",purchase_return
198,"Can I get store credit instead of a refund?",purchase_return
199,"Is it possible to exchange instead of returning?",purchase_return
200,"Do I need the receipt to return an item?",purchase_return
201,"Can I return an item bought during a sale?",purchase_return
202,"What items are not eligible for return?",purchase_return
203,"Can I return a gift I received?",purchase_return
204,"Can I return my order?",purchase_return
205,"I want to cancel and return my recent order.",purchase_return
206,"Can I get a refund if my order arrives late?",purchase_return
207,"My order was delivered but it's the wrong product, can I return it?",purchase_return
208,"Can I exchange an item from order #6e585dd8?",purchase_return
209,"can i retun this item",purchase_return
210,"refund proccess pls",purchase_return
211,"Store location",general_faq
212,"Opening hours",general_faq
213,"Support hours",general_faq
214,"Contact number",general_faq
215,"Delivery areas",general_faq
216,"Shipping charges",general_faq
217,"Nearby store",general_faq
218,"Where is your store located?",general_faq
219,"What are your opening hours?",general_faq
220,"How can I contact customer support?",general_faq
221,"How long does delivery take?",general_faq
222,"Do you deliver outside Kathmandu?",general_faq
223,"What are your customer service hours?",general_faq
224,"Do you have a physical store I can visit?",general_faq
225,"What is your delivery charge?",general_faq
226,"Do you ship to other cities?",general_faq
227,"What is your customer support phone number?",general_faq
228,"Do you have a store in Pokhara?",general_faq
229,"How can I reach your support team?",general_faq
230,"What areas do you currently deliver to?",general_faq
231,"I wanted to know your store's opening hours.",general_faq
232,"Could you tell me where your shop is located?",general_faq
233,"I'm curious how long shipping usually takes.",general_faq
234,"Can you tell me if you deliver to Lalitpur?",general_faq
235,"I'd like to know your customer service hours.",general_faq
236,"Could you share your contact details?",general_faq
237,"I was wondering if you have a store near me.",general_faq
238,"Can you tell me about your delivery charges?",general_faq
239,"I'd like to know if you ship internationally.",general_faq
240,"Wats ur store hours",general_faq
241,"U guys deliver outside ktm?",general_faq
242,"How do i contact support",general_faq
243,"Wats the delivery charge",general_faq
244,"Store open on sundays?",general_faq
245,"Hows long does shipping take",general_faq
246,"Any store near me?",general_faq
247,"Do you have a customer care email?",general_faq
248,"What are your holiday operating hours?",general_faq
249,"Is there a delivery fee for orders under a certain amount?",general_faq
250,"Do you offer same-day delivery?",general_faq
251,"Can I visit your warehouse?",general_faq
252,"Do you have a live chat support option?",general_faq
253,"What cities do you currently operate in?",general_faq
254,"How long does delivery usually take?",general_faq
255,"Do you deliver on weekends?",general_faq
256,"What is your general shipping policy?",general_faq
257,"Do you offer free shipping on all orders?",general_faq
258,"Is there a minimum order amount for free delivery?",general_faq
259,"wat r ur store timings",general_faq
260,"hw do i contact suport",general_faq
